@RELATION Equinox_Framework-ckmetrics

@ATTRIBUTE wmc REAL
@ATTRIBUTE dit REAL
@ATTRIBUTE rfc REAL
@ATTRIBUTE noc REAL
@ATTRIBUTE cbo REAL
@ATTRIBUTE lcom REAL
@ATTRIBUTE loc REAL
@ATTRIBUTE isBug {1,0}

@DATA
3.0,1,14.0,0,6,3,15.0,0
115.0,1,172.0,0,14,300,492.0,0
3.0,1,3.0,0,4,3,11.0,1
1.0,2,1.0,0,1,0,4.0,0
0.0,1,0.0,0,0,0,0.0,0
2.0,1,8.0,0,2,1,6.0,0
39.0,2,34.0,0,12,45,153.0,0
3.0,2,3.0,0,3,1,8.0,0
4.0,2,9.0,0,2,10,13.0,1
7.0,1,12.0,3,10,36,21.0,0
22.0,1,29.0,0,7,45,77.0,1
8.0,1,17.0,0,22,6,24.0,0
2.0,1,8.0,0,4,1,8.0,0
0.0,1,0.0,0,0,0,0.0,0
0.0,2,0.0,0,0,0,0.0,0
0.0,1,0.0,0,0,0,0.0,0
410.0,1,836.0,1,40,2016,1805.0,1
2.0,1,8.0,0,4,1,9.0,0
38.0,2,54.0,0,12,190,120.0,0
4.0,1,4.0,0,1,6,15.0,0
0.0,1,0.0,0,0,0,0.0,1
5.0,1,10.0,0,2,1,30.0,0
38.0,1,108.0,0,17,210,149.0,0
9.0,2,14.0,0,3,21,32.0,0
0.0,1,1.0,2,2,0,0.0,0
34.0,1,36.0,0,5,15,114.0,1
24.0,1,35.0,1,5,15,83.0,1
31.0,3,35.0,0,12,91,65.0,1
1.0,2,3.0,0,2,0,4.0,0
10.0,1,20.0,0,6,6,73.0,0
0.0,1,1.0,0,1,0,0.0,0
0.0,1,1.0,0,1,0,0.0,0
6.0,1,15.0,0,1,1,27.0,0
2.0,1,8.0,0,2,1,6.0,0
0.0,1,0.0,0,0,0,0.0,0
1.0,1,2.0,0,1,0,3.0,0
0.0,1,0.0,0,0,0,0.0,0
6.0,2,11.0,0,5,15,19.0,0
46.0,1,177.0,0,30,210,221.0,0
109.0,1,199.0,0,26,406,430.0,1
30.0,1,45.0,0,13,21,100.0,0
0.0,2,0.0,0,0,0,0.0,1
147.0,2,180.0,0,24,2775,425.0,1
9.0,1,14.0,0,3,6,44.0,0
0.0,2,0.0,0,0,0,0.0,1
3.0,1,3.0,0,0,3,10.0,0
122.0,1,252.0,0,21,378,503.0,1
4.0,1,4.0,0,10,6,15.0,1
28.0,1,57.0,0,5,36,95.0,1
14.0,1,30.0,0,7,6,55.0,1
22.0,1,36.0,0,9,6,98.0,0
14.0,2,29.0,0,6,21,62.0,0
0.0,1,1.0,0,1,0,0.0,0
0.0,1,0.0,0,0,0,0.0,0
10.0,1,22.0,0,6,10,54.0,0
28.0,2,41.0,0,9,21,63.0,1
10.0,2,9.0,0,2,10,31.0,1
5.0,1,5.0,0,5,10,18.0,0
37.0,1,115.0,0,17,45,188.0,0
26.0,1,28.0,0,3,231,73.0,0
1.0,1,2.0,0,1,0,3.0,0
57.0,1,55.0,0,7,45,217.0,1
33.0,1,36.0,0,7,55,125.0,1
107.0,1,219.0,0,16,435,403.0,1
0.0,1,1.0,0,1,0,0.0,0
30.0,1,83.0,0,19,66,155.0,1
0.0,1,0.0,0,0,0,0.0,0
0.0,1,0.0,0,0,0,0.0,0
13.0,2,15.0,5,14,45,36.0,1
16.0,1,16.0,0,5,15,70.0,0
1.0,1,2.0,0,1,0,3.0,0
28.0,1,7.0,0,1,3,153.0,0
13.0,1,21.0,0,2,28,49.0,0
0.0,1,0.0,0,0,0,0.0,0
17.0,1,37.0,0,2,15,110.0,1
13.0,1,26.0,0,4,55,56.0,0
57.0,1,101.0,0,16,78,180.0,0
33.0,1,43.0,0,13,91,86.0,0
11.0,1,18.0,4,12,28,49.0,0
534.0,1,1009.0,0,39,2016,1543.0,1
0.0,1,1.0,0,1,0,0.0,0
2.0,1,8.0,0,4,1,8.0,0
23.0,1,121.0,0,10,66,173.0,0
13.0,1,11.0,0,11,10,28.0,1
0.0,1,0.0,0,0,0,0.0,0
1.0,1,3.0,0,2,0,4.0,0
251.0,1,523.0,0,77,1653,1250.0,1
46.0,1,51.0,0,8,36,186.0,1
9.0,1,14.0,0,4,6,30.0,0
2.0,1,2.0,0,0,1,6.0,0
2.0,1,8.0,0,4,1,9.0,0
39.0,1,38.0,0,5,45,145.0,0
8.0,1,8.0,0,21,28,30.0,0
2.0,1,3.0,0,1,1,7.0,0
21.0,1,27.0,0,6,55,61.0,0
36.0,1,102.0,0,12,190,172.0,0
15.0,1,23.0,0,10,15,47.0,0
98.0,1,171.0,0,16,171,248.0,1
2.0,1,11.0,0,4,1,11.0,0
22.0,1,29.0,0,7,45,76.0,1
119.0,1,341.0,0,34,435,501.0,1
29.0,1,71.0,0,7,21,121.0,0
1.0,1,3.0,0,2,1,3.0,0
18.0,1,28.0,0,10,1,48.0,0
12.0,1,23.0,0,3,21,69.0,0
18.0,1,53.0,0,16,66,81.0,1
22.0,3,44.0,0,18,153,103.0,1
2.0,1,8.0,0,2,1,6.0,0
15.0,1,18.0,3,6,66,39.0,1
59.0,1,79.0,0,12,136,336.0,1
15.0,1,27.0,0,7,21,48.0,0
73.0,1,122.0,0,14,253,294.0,0
4.0,2,7.0,0,4,6,13.0,0
41.0,1,66.0,0,10,36,143.0,1
17.0,1,48.0,0,9,6,133.0,1
19.0,2,26.0,0,5,28,45.0,1
26.0,1,46.0,0,9,28,92.0,0
4.0,1,7.0,0,3,3,12.0,1
36.0,1,55.0,0,6,45,108.0,0
17.0,1,39.0,5,28,91,55.0,1
2.0,1,8.0,0,2,1,6.0,0
0.0,1,0.0,1,0,0,0.0,0
3.0,1,14.0,0,6,3,15.0,0
35.0,1,72.0,0,17,36,130.0,1
0.0,1,0.0,0,0,0,0.0,0
5.0,1,4.0,4,7,6,14.0,1
65.0,1,107.0,0,24,171,196.0,1
72.0,1,149.0,0,18,171,244.0,1
62.0,1,147.0,0,19,153,369.0,1
73.0,1,171.0,0,20,136,399.0,1
22.0,1,72.0,2,14,45,94.0,0
46.0,1,66.0,0,9,171,160.0,0
5.0,3,9.0,0,6,1,19.0,0
7.0,1,8.0,0,6,6,28.0,0
1.0,1,3.0,0,2,0,4.0,0
0.0,1,0.0,0,0,0,0.0,0
0.0,1,1.0,0,1,0,0.0,0
49.0,2,118.0,0,16,78,198.0,1
7.0,1,18.0,0,5,1,27.0,0
6.0,1,16.0,0,9,3,32.0,0
23.0,2,46.0,0,18,15,107.0,0
2.0,1,8.0,0,2,1,6.0,0
67.0,1,107.0,2,15,78,210.0,1
126.0,2,174.0,1,28,210,456.0,1
44.0,1,69.0,0,13,136,140.0,1
10.0,2,18.0,0,7,28,30.0,1
288.0,3,677.0,0,46,2145,1434.0,1
1.0,1,3.0,0,2,0,4.0,0
64.0,1,137.0,0,16,171,289.0,0
28.0,2,58.0,0,17,91,138.0,1
15.0,1,72.0,0,17,6,97.0,0
146.0,1,331.0,0,23,630,596.0,1
52.0,2,67.0,0,12,190,124.0,0
48.0,1,68.0,0,16,55,182.0,0
0.0,2,0.0,0,0,0,0.0,0
22.0,1,18.0,0,10,15,88.0,1
2.0,1,10.0,0,2,1,15.0,0
48.0,1,79.0,6,26,28,214.0,0
11.0,1,18.0,0,21,3,33.0,0
187.0,1,268.0,0,39,300,535.0,1
1.0,1,7.0,0,4,0,7.0,0
85.0,2,138.0,0,20,120,231.0,1
0.0,1,0.0,0,0,0,0.0,0
0.0,1,0.0,0,0,0,0.0,0
0.0,1,1.0,0,1,0,0.0,0
264.0,1,350.0,1,39,1035,862.0,1
21.0,1,36.0,0,11,36,61.0,1
31.0,1,49.0,0,11,120,110.0,0
4.0,1,5.0,0,1,6,14.0,1
117.0,1,196.0,0,26,496,393.0,1
39.0,2,58.0,0,13,66,112.0,1
37.0,1,72.0,0,26,45,169.0,1
28.0,1,104.0,0,28,171,200.0,1
5.0,1,8.0,0,4,3,13.0,0
6.0,1,11.0,0,7,10,23.0,0
142.0,1,295.0,2,57,1953,712.0,1
14.0,1,16.0,0,2,28,54.0,0
0.0,1,0.0,0,0,0,0.0,0
0.0,1,0.0,0,0,0,0.0,0
0.0,1,0.0,0,0,0,0.0,0
18.0,1,59.0,0,17,6,89.0,0
2.0,1,8.0,0,4,1,9.0,0
22.0,2,22.0,0,7,36,63.0,0
2.0,1,3.0,0,1,1,6.0,0
2.0,1,18.0,0,2,1,26.0,0
0.0,1,0.0,0,0,0,0.0,0
300.0,1,605.0,0,54,1128,1217.0,1
34.0,1,39.0,0,15,28,81.0,1
44.0,1,71.0,0,7,28,130.0,0
17.0,1,22.0,0,7,55,68.0,1
1.0,1,2.0,0,1,0,3.0,0
10.0,2,24.0,0,7,21,45.0,1
4.0,1,5.0,1,20,6,13.0,1
11.0,1,18.0,0,4,15,48.0,1
31.0,1,49.0,1,11,210,103.0,1
69.0,1,120.0,0,23,91,318.0,0
3.0,2,3.0,0,2,3,10.0,0
0.0,1,0.0,0,0,0,0.0,0
8.0,1,18.0,0,2,1,47.0,0
82.0,1,70.0,0,13,231,285.0,0
2.0,1,8.0,0,2,1,6.0,0
11.0,2,22.0,0,5,6,33.0,1
56.0,1,99.0,0,27,105,203.0,1
165.0,1,397.0,0,26,666,610.0,0
18.0,3,18.0,0,10,36,33.0,1
26.0,1,33.0,0,7,45,90.0,1
2.0,1,6.0,0,4,1,10.0,1
9.0,1,17.0,0,5,6,38.0,1
149.0,1,220.0,0,35,595,654.0,1
2.0,1,8.0,0,2,1,6.0,0
29.0,1,63.0,0,14,45,108.0,0
36.0,1,37.0,3,11,190,97.0,0
13.0,1,26.0,1,3,21,44.0,1
2.0,1,3.0,0,1,1,6.0,0
10.0,2,14.0,1,5,21,28.0,1
2.0,1,3.0,0,8,1,4.0,1
40.0,1,63.0,0,12,28,134.0,1
30.0,1,85.0,0,19,78,124.0,1
2.0,1,2.0,0,8,1,6.0,1
10.0,1,20.0,0,6,3,59.0,1
26.0,2,36.0,0,17,21,77.0,0
54.0,2,108.0,0,23,190,209.0,1
40.0,1,82.0,0,21,120,208.0,1
22.0,1,31.0,0,10,21,79.0,0
15.0,1,25.0,0,1,15,52.0,1
0.0,1,0.0,0,0,0,0.0,0
59.0,1,78.0,0,11,66,246.0,1
16.0,1,16.0,0,7,28,45.0,0
1.0,1,2.0,0,1,0,3.0,0
86.0,1,114.0,1,38,1225,248.0,1
2.0,1,8.0,0,2,1,6.0,0
1.0,1,1.0,1,0,0,3.0,0
52.0,1,66.0,0,7,55,141.0,0
5.0,1,10.0,0,8,6,25.0,0
1.0,1,2.0,0,1,0,3.0,0
60.0,1,114.0,0,34,528,252.0,1
58.0,3,71.0,0,17,78,128.0,1
30.0,3,36.0,0,4,45,66.0,1
49.0,3,42.0,0,15,21,117.0,1
3.0,1,3.0,0,27,3,11.0,1
4.0,1,10.0,0,4,6,21.0,0
40.0,2,57.0,0,14,190,142.0,1
286.0,3,566.0,0,67,2016,1041.0,1
8.0,2,15.0,0,6,1,22.0,0
32.0,1,40.0,1,29,55,130.0,1
2.0,1,10.0,0,2,1,15.0,0
11.0,1,14.0,0,3,55,37.0,1
7.0,1,8.0,0,7,10,24.0,0
29.0,1,31.0,0,5,10,99.0,0
1.0,1,2.0,0,1,0,3.0,0
0.0,2,1.0,0,1,0,0.0,0
38.0,1,74.0,0,2,703,114.0,1
0.0,1,0.0,0,0,0,0.0,0
2.0,1,18.0,0,2,1,26.0,0
6.0,2,10.0,0,5,10,17.0,0
10.0,1,21.0,0,1,55,30.0,0
19.0,2,27.0,0,11,3,54.0,1
91.0,1,205.0,0,24,406,424.0,0
36.0,1,66.0,1,12,190,114.0,1
38.0,1,77.0,0,28,253,144.0,0
5.0,1,16.0,1,7,36,16.0,0
52.0,1,73.0,0,25,153,159.0,1
72.0,1,128.0,0,26,153,257.0,0
24.0,2,36.0,0,6,6,86.0,1
10.0,1,17.0,0,9,6,47.0,1
102.0,2,217.0,0,29,741,367.0,1
9.0,1,19.0,0,2,45,28.0,1
8.0,1,18.0,0,7,28,31.0,1
2.0,1,8.0,0,2,1,6.0,0
2.0,1,8.0,0,4,1,9.0,0
15.0,1,27.0,0,4,36,56.0,0
19.0,1,41.0,0,4,105,94.0,0
8.0,1,26.0,0,9,3,28.0,0
0.0,1,0.0,0,0,0,0.0,0
42.0,1,60.0,0,9,36,148.0,0
0.0,1,1.0,0,1,0,0.0,0
12.0,2,16.0,0,5,15,25.0,0
10.0,2,12.0,0,2,28,31.0,1
211.0,1,385.0,2,38,2016,705.0,1
42.0,2,101.0,0,11,120,177.0,0
5.0,1,9.0,0,4,1,13.0,1
2.0,1,8.0,0,2,1,6.0,0
49.0,2,60.0,0,12,136,186.0,1
18.0,1,23.0,0,5,45,71.0,0
29.0,2,52.0,0,19,21,122.0,1
3.0,1,5.0,0,3,1,11.0,0
3.0,1,3.0,0,0,3,12.0,1
27.0,1,17.0,0,5,15,95.0,0
1.0,1,1.0,0,2,0,4.0,0
9.0,1,10.0,0,7,6,39.0,1
2.0,1,8.0,0,2,1,6.0,0
0.0,2,0.0,0,0,0,0.0,0
4.0,1,18.0,0,5,3,21.0,0
1.0,1,3.0,0,2,0,4.0,0
0.0,1,1.0,0,1,0,0.0,0
3.0,2,8.0,0,5,1,11.0,0
39.0,1,78.0,0,10,36,107.0,0
3.0,1,4.0,0,2,3,10.0,0
304.0,1,249.0,0,18,406,1003.0,1
35.0,2,43.0,0,10,91,90.0,1
0.0,1,0.0,0,0,0,0.0,0
6.0,1,16.0,1,7,10,20.0,1
17.0,1,21.0,0,7,21,57.0,0
168.0,1,337.0,0,29,276,516.0,1
20.0,1,24.0,0,3,190,64.0,0
0.0,1,0.0,0,0,0,0.0,0
12.0,3,16.0,0,9,21,25.0,1
29.0,1,61.0,0,14,28,116.0,0
3.0,1,4.0,0,4,3,9.0,0
2.0,1,8.0,0,2,1,6.0,0
66.0,1,101.0,0,6,28,262.0,0
0.0,2,0.0,0,0,0,0.0,0
30.0,1,37.0,0,8,45,78.0,1
13.0,2,23.0,0,4,21,37.0,1
40.0,1,80.0,0,10,55,200.0,1
36.0,2,43.0,0,13,91,116.0,1
7.0,2,12.0,0,3,21,26.0,0
2.0,1,8.0,0,2,1,6.0,0
67.0,1,65.0,0,23,120,285.0,1
26.0,1,39.0,0,7,15,111.0,1
195.0,2,322.0,0,22,990,513.0,1
0.0,1,0.0,0,0,0,0.0,0
0.0,1,0.0,0,0,0,0.0,0
106.0,2,206.0,0,37,780,332.0,1
