@RELATION ant-1.6-ckmetrics

@ATTRIBUTE wmc REAL
@ATTRIBUTE dit REAL
@ATTRIBUTE rfc REAL
@ATTRIBUTE noc REAL
@ATTRIBUTE cbo REAL
@ATTRIBUTE lcom REAL
@ATTRIBUTE loc REAL
@ATTRIBUTE isBug {1,0}

@DATA
3,1,19,0,3,0,104,0
3,5,14,0,6,3,52,0
10,1,39,0,15,19,344,0
24,3,118,0,17,72,1066,1
12,1,22,0,3,44,156,0
19,3,61,0,10,135,504,0
2,3,7,0,3,1,23,0
3,2,6,0,4,0,30,0
23,4,77,2,22,149,1164,0
12,3,38,0,11,2,224,1
7,1,8,0,2,0,1082,0
20,4,97,0,13,116,895,1
9,1,23,0,8,0,148,0
3,2,7,0,5,1,29,0
30,1,65,0,31,303,634,1
3,6,11,0,7,3,37,0
30,3,109,0,15,395,929,0
8,5,29,0,9,0,187,0
9,2,73,0,17,14,432,1
23,3,88,0,15,201,541,0
1,1,1,0,16,0,1,0
30,3,102,0,51,301,1238,0
8,5,26,0,6,0,172,0
3,3,10,0,3,0,32,0
6,1,8,0,1,0,43,0
3,2,28,0,9,3,155,1
13,5,34,0,11,68,199,0
8,5,23,0,10,0,198,0
6,5,22,0,9,0,105,0
3,4,21,0,4,3,144,0
5,3,15,0,5,4,90,0
3,1,3,0,3,3,3,0
2,3,3,0,0,1,7,0
3,1,17,0,3,0,204,0
22,5,73,1,17,151,618,1
1,1,1,0,8,0,1,0
4,2,14,0,6,2,68,0
3,4,25,0,5,3,191,0
18,1,68,2,23,151,413,1
8,3,39,0,2,10,308,0
20,1,50,0,3,74,721,1
35,1,79,0,12,333,487,1
10,5,30,0,6,0,328,0
4,4,13,0,4,0,87,0
53,1,119,1,37,1112,1739,1
15,1,23,2,8,67,170,1
7,1,8,1,5,3,47,0
10,6,33,0,10,35,165,0
17,4,62,0,15,78,416,0
8,4,39,0,7,4,277,0
5,3,41,0,8,0,230,0
19,5,45,0,14,25,458,1
17,1,58,0,4,130,630,1
4,1,5,0,4,0,24,0
4,1,13,0,1,6,45,0
2,3,15,0,4,1,59,0
50,3,123,2,55,919,918,1
8,3,77,0,15,6,585,1
42,3,96,11,39,0,328,0
31,3,97,2,20,307,1137,1
1,2,2,0,1,0,4,0
1,6,2,1,3,0,4,0
4,2,14,0,6,0,96,0
9,2,23,0,0,0,250,0
4,1,25,0,3,4,183,0
2,2,28,0,9,1,268,1
6,3,35,0,5,0,300,0
5,1,11,1,35,4,54,0
18,5,58,0,15,39,316,0
5,3,12,3,8,2,49,0
2,2,6,0,1,1,20,0
4,2,10,0,6,0,125,0
7,3,26,0,6,15,237,0
16,1,56,3,15,86,372,0
7,1,8,0,24,3,43,0
33,1,100,0,29,420,1585,1
3,2,20,0,8,3,151,0
3,4,9,3,32,3,23,0
3,2,8,0,3,0,32,0
31,1,68,0,5,407,624,0
17,3,67,0,19,112,468,1
1,1,1,0,2,0,1,0
10,2,30,0,4,27,252,0
16,1,39,3,13,80,341,1
16,3,41,0,3,84,559,1
3,5,14,0,7,0,92,0
7,1,7,0,9,21,7,0
5,1,9,0,3,0,64,0
8,3,45,0,11,16,216,0
14,2,63,0,18,65,322,1
12,1,42,0,2,0,236,1
6,1,11,0,2,3,56,0
2,4,15,0,5,1,67,0
5,1,5,0,7,10,5,0
8,1,33,0,2,4,269,0
7,4,26,0,14,0,199,0
5,1,13,0,6,0,69,0
14,3,34,0,8,65,404,0
7,1,7,0,2,21,7,0
30,3,89,1,14,301,844,0
4,1,7,0,2,6,20,0
1,5,2,0,1,0,4,0
5,1,15,2,5,0,137,0
1,4,3,0,1,0,6,0
3,1,14,0,7,3,88,1
5,1,7,0,2,4,39,0
16,1,74,0,13,50,635,0
5,3,24,0,9,10,137,0
8,1,19,0,80,18,99,0
14,3,44,0,10,0,199,0
1,3,2,0,6,0,5,0
2,2,24,0,9,1,147,0
0,1,0,0,4,0,0,0
5,4,9,0,1,10,81,0
30,4,93,0,19,317,949,1
17,1,74,0,8,14,599,1
3,5,11,0,9,3,76,0
2,3,8,0,3,1,33,0
24,1,24,0,23,276,24,0
8,3,18,0,4,10,172,0
6,3,24,0,5,1,137,0
19,4,40,0,18,23,386,0
4,4,7,0,3,0,161,0
5,1,19,0,1,0,108,0
7,3,38,0,7,0,262,0
9,3,16,0,0,34,60,0
3,5,8,0,2,0,28,0
7,4,50,0,9,21,686,0
3,1,3,0,2,3,4,0
8,1,15,0,4,6,286,0
1,1,1,0,3,0,1,0
3,2,22,0,8,3,152,0
9,2,50,0,7,14,348,0
7,5,26,0,9,0,263,0
12,4,60,0,5,16,720,0
