@RELATION camel-1.0-ckmetrics

@ATTRIBUTE wmc REAL
@ATTRIBUTE dit REAL
@ATTRIBUTE rfc REAL
@ATTRIBUTE noc REAL
@ATTRIBUTE cbo REAL
@ATTRIBUTE lcom REAL
@ATTRIBUTE loc REAL
@ATTRIBUTE isBug {1,0}

@DATA
4,2,8,0,6,6,26,0
6,3,33,0,21,15,176,0
2,3,7,0,3,1,24,0
26,1,47,1,10,0,236,0
4,3,19,0,4,6,62,0
8,3,13,0,6,14,70,0
13,2,112,0,18,76,1000,0
13,1,13,0,66,78,13,1
2,1,3,0,4,0,12,0
6,3,18,0,13,13,76,0
25,2,45,0,18,252,273,0
2,5,6,0,2,0,22,0
7,2,25,0,7,0,153,0
3,5,6,0,2,3,16,0
6,1,25,0,2,5,166,0
19,2,31,0,20,133,170,0
7,2,21,0,11,17,90,0
3,1,8,0,9,1,26,0
0,1,0,0,27,0,0,0
2,2,4,0,6,0,16,0
12,3,19,0,8,60,101,0
2,6,7,0,2,0,25,0
14,3,29,0,6,35,132,0
0,1,0,0,1,0,0,0
11,2,23,9,15,49,87,0
13,3,33,0,14,68,121,0
3,3,8,0,5,3,28,0
13,3,29,0,8,36,158,0
4,1,5,0,5,0,28,0
12,3,27,0,11,44,124,0
3,1,6,0,4,0,33,0
16,2,19,0,8,114,90,0
7,2,8,2,3,9,40,0
8,1,12,3,11,14,56,0
1,1,1,0,5,0,1,0
3,1,8,0,5,3,23,0
2,1,2,0,1,1,2,0
3,4,9,0,4,0,33,0
2,3,5,0,4,0,20,0
5,3,10,0,4,2,40,0
4,3,23,0,11,0,75,0
4,1,10,0,4,0,35,0
15,2,21,0,16,89,105,0
7,3,24,0,5,3,141,0
4,3,6,0,6,0,30,0
15,3,46,0,14,93,217,0
2,1,11,0,2,1,54,0
1,1,1,0,1,0,1,0
49,3,97,1,13,1170,378,0
9,2,15,0,6,8,87,0
9,2,19,14,22,16,77,0
5,3,31,0,8,2,122,1
2,5,7,0,4,0,25,0
3,5,8,0,4,0,32,0
2,1,19,0,2,1,121,0
10,2,28,0,15,31,97,0
7,2,16,0,8,0,67,0
16,2,36,1,13,78,188,0
10,0,17,0,12,21,80,0
10,3,22,0,16,43,93,0
3,1,3,0,5,3,3,0
4,1,11,4,6,6,36,0
2,2,6,0,3,1,14,0
10,3,14,0,4,33,58,0
1,5,2,0,2,0,7,0
13,0,43,0,16,74,223,0
12,1,15,0,4,46,73,0
9,1,16,0,5,36,69,0
4,1,8,2,4,0,28,0
17,1,17,0,84,136,17,1
1,1,2,0,0,0,22,0
3,2,6,0,7,0,24,0
11,1,45,0,16,33,302,0
5,0,20,0,8,0,72,0
6,1,26,0,5,1,145,0
11,1,29,0,6,17,160,0
15,1,18,0,1,95,106,0
4,1,11,3,3,0,31,0
2,5,7,0,2,0,25,0
82,1,143,1,22,2897,935,0
10,3,17,0,11,33,79,1
5,2,14,0,7,2,112,0
9,1,12,0,7,0,87,0
6,1,12,0,8,15,37,0
3,1,3,0,2,3,3,0
5,3,17,0,4,8,98,0
13,1,24,1,7,66,113,1
5,3,27,0,15,0,105,0
7,2,17,0,1,0,83,0
34,2,72,0,18,475,600,0
5,1,27,0,6,0,153,0
11,1,51,0,14,23,413,0
