@RELATION ivy-2.0-ckmetrics

@ATTRIBUTE wmc REAL
@ATTRIBUTE dit REAL
@ATTRIBUTE rfc REAL
@ATTRIBUTE noc REAL
@ATTRIBUTE cbo REAL
@ATTRIBUTE lcom REAL
@ATTRIBUTE loc REAL
@ATTRIBUTE isBug {1,0}

@DATA
28,1,82,0,32,374,926,1
6,1,7,2,3,3,36,0
4,2,6,0,5,4,21,0
4,1,4,0,9,6,4,0
1,1,1,0,8,0,1,0
23,2,67,0,150,235,653,1
5,1,26,0,8,0,127,0
25,4,73,0,18,200,666,1
7,1,13,0,2,0,86,0
21,1,22,0,7,154,141,0
2,2,4,0,2,1,11,0
8,1,21,0,10,28,130,0
32,4,81,0,16,406,504,0
13,1,44,2,4,70,208,0
19,1,42,0,8,99,329,1
2,1,21,0,6,1,144,0
1,1,1,0,4,0,1,0
25,1,58,0,10,234,257,0
8,1,29,0,12,0,126,0
5,1,11,1,26,0,41,0
3,1,8,2,7,3,34,0
4,3,10,0,6,4,27,0
5,1,6,1,6,0,32,0
2,1,3,0,4,1,8,0
1,1,1,0,4,0,1,0
10,1,19,0,27,15,138,0
12,5,25,0,3,66,67,0
5,1,21,0,14,0,75,0
54,2,137,0,17,1241,1589,0
5,3,9,0,4,2,61,0
37,6,120,0,26,570,1123,1
10,1,15,3,9,29,67,0
8,2,32,0,6,20,221,0
2,2,5,2,4,0,19,0
20,1,29,0,8,108,188,0
3,1,4,2,3,1,16,0
3,1,23,0,9,0,125,0
8,1,104,0,32,8,955,1
8,2,52,0,16,16,336,0
7,3,20,0,5,9,110,0
3,5,38,2,16,3,159,0
5,6,24,0,6,2,88,0
9,3,71,0,20,36,476,0
16,1,123,0,27,120,1851,0
4,1,22,0,5,6,100,0
23,5,74,1,10,189,608,0
7,1,34,0,7,15,288,0
10,4,38,0,10,3,207,0
3,2,19,0,4,0,57,0
1,1,1,0,5,0,1,0
11,1,25,0,4,23,215,0
4,1,6,0,2,6,23,0
11,1,15,0,2,17,95,0
18,1,83,0,23,151,638,0
11,5,27,2,7,49,85,0
4,2,13,0,4,0,41,0
12,2,29,0,7,30,171,0
5,5,15,0,6,10,48,0
35,4,103,0,16,429,824,1
11,1,19,0,6,1,67,0
74,1,190,0,40,2181,1443,1
9,2,39,0,19,34,178,1
13,1,37,7,28,44,172,0
5,1,13,1,3,4,48,0
4,1,17,0,11,4,77,0
9,1,9,0,83,36,9,0
7,6,22,0,3,21,68,0
15,2,40,0,9,77,286,0
27,1,78,0,33,219,394,0
31,1,31,0,97,465,33,0
9,2,28,0,17,22,127,0
37,4,107,0,19,526,659,0
2,1,16,0,3,1,98,0
15,4,64,0,13,57,411,1
2,1,65,0,30,0,412,0
8,1,22,5,6,6,145,0
5,2,14,2,6,2,60,0
7,1,63,0,10,21,1034,0
14,1,19,1,2,79,97,0
20,1,30,2,4,142,183,0
5,1,30,0,13,4,149,0
13,2,35,0,14,52,204,0
12,1,63,0,7,64,939,0
2,4,18,0,2,0,99,0
5,1,26,0,7,4,158,0
6,1,6,0,27,15,6,0
4,1,5,0,4,6,17,0
11,2,12,0,7,25,74,0
12,1,12,0,19,66,12,0
1,1,1,0,7,0,1,0
6,1,6,0,21,15,6,0
2,1,34,0,15,0,326,0
5,2,44,0,10,0,305,1
4,4,8,2,5,6,20,0
5,1,17,0,6,10,112,0
8,1,35,0,3,20,303,1
8,1,13,0,2,14,69,0
5,1,22,0,2,8,97,0
5,1,6,0,3,6,24,0
3,1,6,0,2,1,21,0
4,1,5,0,12,0,24,0
4,2,11,0,3,6,48,0
3,6,7,0,3,3,17,0
8,1,8,0,8,28,8,0
6,1,7,0,1,3,34,0
3,1,20,0,8,1,155,0
3,3,9,0,5,0,40,0
1,3,2,0,4,0,9,0
47,4,108,0,15,865,896,0
22,2,59,0,16,0,354,0
10,1,62,0,17,11,491,1
2,2,3,0,3,0,14,0
5,1,8,4,7,8,34,0
2,5,5,3,6,1,12,0
11,1,21,0,4,13,68,0
59,1,148,0,31,0,895,0
25,4,49,0,10,224,304,0
6,2,36,0,6,0,165,0
5,1,22,0,1,10,103,0
3,1,22,0,13,0,201,0
57,2,242,1,56,1504,2550,1
5,1,6,0,2,2,36,1
13,1,49,0,14,24,298,0
2,3,5,0,3,0,15,0
29,2,104,0,21,236,733,1
1,1,1,0,2,0,1,0
5,5,18,0,4,8,76,0
10,1,14,6,12,37,51,0
21,2,58,2,9,156,373,0
3,1,4,0,8,0,20,0
25,1,90,0,8,112,1160,0
2,3,7,0,6,1,18,0
23,2,33,0,7,213,284,0
21,1,46,5,12,132,281,0
22,4,104,5,30,63,707,0
21,3,77,0,12,160,797,0
9,2,30,0,7,0,228,0
12,2,31,0,6,20,360,0
3,1,3,0,16,3,3,0
38,4,104,4,21,613,839,1
1,1,1,0,34,0,1,0
2,3,5,0,4,0,21,0
11,1,16,0,23,31,77,0
3,2,5,0,3,3,18,0
2,1,2,0,4,1,2,0
25,1,26,0,6,276,136,0
6,1,6,0,23,15,6,0
8,2,25,0,5,6,145,0
11,1,11,0,43,55,11,1
1,3,2,0,3,0,5,0
3,1,4,0,2,1,14,0
10,1,12,0,2,25,53,0
12,1,18,0,35,30,99,0
9,1,11,0,4,28,60,0
2,1,2,0,3,1,2,0
11,1,24,0,14,17,107,1
13,3,26,0,16,46,243,0
30,1,78,0,27,267,543,0
2,2,4,0,4,1,8,0
14,1,39,0,10,0,225,0
13,1,104,0,28,76,691,0
12,1,31,0,9,54,170,0
1,1,1,0,7,0,1,0
23,1,23,0,57,253,23,0
15,2,16,0,12,67,104,0
9,1,36,2,5,36,146,0
21,2,38,0,21,170,224,0
3,1,18,0,6,3,67,0
157,1,312,0,111,11794,2701,0
14,1,32,0,57,45,277,0
5,1,14,0,11,4,72,0
6,1,6,0,11,15,6,0
3,1,5,0,2,0,22,0
25,1,25,0,62,300,25,0
8,1,17,0,11,0,54,0
6,1,9,0,9,3,52,0
11,1,12,0,6,25,78,0
32,3,84,17,33,470,670,0
17,1,29,0,6,90,167,0
3,1,12,2,7,3,53,0
7,1,7,0,54,21,7,0
9,2,38,1,13,12,197,0
28,6,70,0,17,300,488,0
1,1,1,0,7,0,1,0
6,2,9,0,3,9,40,0
2,1,2,0,4,1,2,0
4,1,79,0,16,0,435,0
4,1,10,0,15,0,68,0
8,1,8,0,27,28,8,1
5,1,56,0,5,0,334,0
14,5,105,0,20,73,623,0
6,1,14,0,3,7,63,0
10,2,38,0,9,15,197,0
1,3,2,0,3,0,8,0
4,1,6,0,2,0,35,0
20,1,45,0,106,182,124,0
19,1,19,0,8,171,19,0
2,1,2,0,9,1,4,0
8,2,61,0,9,28,544,1
13,6,69,0,25,78,420,0
3,2,5,0,5,3,18,0
2,2,4,0,1,1,10,0
4,1,17,0,7,0,58,0
9,1,11,0,3,26,60,0
3,1,3,0,11,3,3,0
5,1,5,0,8,10,5,0
3,2,5,1,4,3,18,0
3,1,3,0,3,3,3,0
28,1,72,0,11,118,719,1
14,1,34,0,10,65,207,0
5,1,20,0,9,2,89,0
4,1,4,0,6,6,4,1
1,3,2,0,4,0,11,0
9,1,29,1,5,0,157,0
1,1,1,0,8,0,1,0
12,1,64,0,10,0,444,1
4,1,38,0,6,6,242,0
2,1,2,0,34,1,7,0
17,1,39,0,6,110,165,0
3,1,3,0,5,3,3,0
16,4,27,0,8,68,175,1
19,1,64,0,6,75,636,0
6,1,13,0,6,0,55,0
6,4,23,0,8,0,143,0
4,3,10,0,7,4,27,0
2,3,4,0,4,0,30,0
30,1,68,0,37,345,513,0
10,1,61,0,20,45,192,0
8,6,41,0,6,22,204,0
2,2,13,0,6,1,46,0
4,1,6,0,2,6,23,0
2,1,2,0,24,1,2,0
10,5,44,0,9,13,176,0
1,5,2,0,3,0,5,0
7,1,12,0,3,0,77,0
6,1,40,0,6,13,227,0
1,1,1,0,5,0,1,0
4,1,14,0,6,0,74,0
3,3,18,0,7,0,87,0
30,3,132,1,26,369,1096,0
3,3,12,0,7,0,64,0
6,1,13,0,11,0,44,0
1,1,1,0,6,0,1,0
13,3,32,0,8,4,134,0
13,1,14,0,13,78,24,0
3,1,3,0,10,3,3,0
1,2,2,0,14,0,4,0
2,1,2,0,6,1,2,0
48,1,109,0,16,118,719,1
2,1,2,0,16,1,2,0
7,4,27,0,7,0,147,0
13,1,30,0,22,0,267,0
4,2,17,2,7,4,60,0
10,1,39,0,11,39,1308,0
7,1,8,0,3,15,51,0
12,4,24,0,8,30,124,1
2,1,2,0,5,1,2,0
2,1,4,1,6,1,8,0
5,2,21,0,4,0,144,0
4,1,7,0,4,0,31,0
4,1,12,0,22,6,72,0
1,1,1,0,7,0,1,0
2,3,7,0,5,1,18,0
3,2,6,0,3,3,15,0
29,3,97,0,21,316,677,0
5,1,23,0,7,0,105,0
33,2,45,0,33,390,350,0
3,2,23,0,4,3,95,0
3,2,11,3,6,1,33,0
1,3,2,0,5,0,9,0
6,1,22,0,5,0,84,1
8,1,8,0,16,28,8,0
15,1,66,0,19,39,451,0
5,2,9,3,5,0,34,0
17,3,78,0,15,84,413,0
4,1,6,0,2,0,35,0
6,4,19,0,6,3,94,0
2,3,14,0,4,0,54,0
2,2,4,0,5,1,8,0
7,4,20,0,2,21,67,0
2,1,6,0,3,0,26,0
1,1,1,0,6,0,1,0
8,5,32,0,11,18,149,0
2,4,4,0,5,0,14,0
5,2,6,0,17,6,25,0
3,2,5,0,6,3,18,0
5,1,31,0,13,8,140,0
15,3,69,0,17,105,583,0
9,1,117,0,22,36,1209,0
77,1,243,0,50,2706,2480,1
13,1,148,0,29,78,1407,1
11,1,52,0,12,37,360,1
1,1,1,0,9,0,1,0
99,1,293,0,65,3615,2894,1
2,1,2,0,19,1,2,0
6,2,19,2,2,0,86,0
10,2,21,3,5,0,84,0
13,2,50,0,11,46,267,0
3,1,3,0,20,3,3,0
2,2,3,0,8,0,14,0
19,6,62,0,10,119,309,0
3,2,10,2,5,0,39,0
29,1,116,0,39,90,1109,1
14,1,41,0,12,35,230,0
3,2,14,2,6,0,70,0
14,2,23,0,10,53,164,0
4,1,5,3,7,0,32,0
4,3,8,0,2,6,21,0
3,2,5,0,3,3,12,0
3,1,3,0,5,3,3,0
2,2,4,0,4,1,10,0
3,1,22,0,11,3,101,0
3,1,38,0,11,1,215,0
4,1,8,0,2,4,24,0
33,1,277,0,54,194,2591,1
2,3,5,0,3,0,15,0
1,1,1,0,5,0,1,0
22,2,143,0,20,0,1648,1
5,3,15,0,3,10,50,0
3,1,3,0,9,3,3,0
4,1,10,2,10,6,27,0
13,1,77,0,19,0,1090,0
5,1,65,0,16,10,598,0
10,2,30,1,6,27,290,0
12,1,21,0,3,0,222,0
11,1,44,0,11,49,279,1
13,4,35,0,4,68,194,0
4,1,104,0,24,0,763,0
2,1,8,0,2,1,49,0
11,1,20,0,7,37,132,0
10,1,16,0,2,23,88,0
37,4,108,0,16,516,1130,0
9,2,28,2,7,10,124,0
21,2,108,0,30,190,766,0
74,1,163,0,84,2213,1119,0
7,2,24,0,12,0,122,0
19,1,29,1,32,107,186,1
2,1,2,0,12,1,2,0
29,1,91,0,24,312,699,0
65,1,131,3,41,2010,810,1
6,2,15,0,5,15,53,0
4,1,9,0,5,0,34,0
3,2,5,0,10,3,18,0
21,3,54,0,4,0,233,0
1,1,1,0,10,0,1,0
55,1,123,0,31,1255,1167,1
7,1,8,5,9,13,30,0
3,1,3,0,15,3,3,0
8,1,17,0,18,20,141,0
10,1,10,0,15,45,10,0
45,4,113,0,13,814,636,0
7,1,44,0,10,19,348,1
