@RELATION jedit-4.0-ckmetrics

@ATTRIBUTE wmc REAL
@ATTRIBUTE dit REAL
@ATTRIBUTE rfc REAL
@ATTRIBUTE noc REAL
@ATTRIBUTE cbo REAL
@ATTRIBUTE lcom REAL
@ATTRIBUTE loc REAL
@ATTRIBUTE isBug {1,0}

@DATA
6,8,22,0,10,15,128,0
12,6,39,0,7,28,573,1
14,7,108,0,28,69,732,1
2,2,6,0,2,1,85,0
5,6,28,0,5,0,337,1
2,2,4,0,1,1,16,0
2,8,33,0,11,1,206,0
8,5,33,0,3,28,143,1
7,1,7,0,36,21,7,0
8,6,31,0,5,20,119,0
7,1,20,0,6,0,347,1
5,7,50,0,4,2,533,0
5,2,29,0,5,2,197,1
150,1,337,0,117,10339,4593,1
14,2,95,0,14,21,973,1
11,3,54,0,8,0,541,1
3,6,24,0,5,1,371,1
6,1,6,0,1,15,6,0
248,4,482,0,70,16336,9106,1
2,2,6,0,9,1,54,0
4,1,11,1,4,6,36,0
11,6,63,0,12,27,559,0
2,2,8,0,8,1,50,0
3,1,19,0,9,3,54,1
6,1,14,3,31,7,49,1
14,6,77,0,11,51,516,0
3,7,27,0,5,3,110,0
39,7,155,0,28,517,1788,1
3,2,11,0,5,0,87,0
9,1,18,0,4,0,368,0
5,2,24,0,7,0,99,0
21,1,53,0,14,0,1726,1
1,1,2,0,10,0,12,0
4,5,16,0,6,0,54,0
28,1,39,0,7,46,1223,1
9,6,27,0,4,10,181,0
57,6,209,0,132,1298,1532,1
32,1,70,4,31,400,504,0
8,3,14,0,1,16,49,0
5,1,6,0,2,10,12,0
3,2,5,0,4,3,20,0
4,2,9,0,4,0,80,0
11,7,62,0,10,29,392,0
118,1,180,0,7,6075,5223,0
26,1,73,0,41,217,370,1
14,7,81,0,15,49,864,1
3,1,3,0,29,3,4,0
1,4,2,0,17,0,5,0
13,1,38,0,9,48,300,1
2,2,6,0,7,1,36,0
6,2,13,0,4,0,62,0
19,5,76,0,33,119,618,1
4,2,16,0,4,4,108,0
13,1,33,0,19,40,268,1
5,2,20,0,7,4,155,0
6,6,35,0,12,3,248,0
12,2,32,0,8,0,176,0
12,1,42,0,10,66,957,1
3,6,18,0,4,1,302,0
5,1,12,0,3,0,269,0
13,1,53,0,69,38,437,0
15,3,23,3,53,43,154,1
10,1,28,0,8,3,226,0
11,2,29,0,8,25,185,0
11,6,50,0,7,25,333,0
2,2,5,0,7,1,22,0
5,2,17,0,3,10,88,0
5,3,6,0,6,2,36,0
6,2,38,0,17,15,283,0
18,1,95,0,12,43,747,1
2,2,3,0,4,1,10,0
17,2,72,0,11,98,1115,1
3,3,7,0,3,3,33,0
8,6,25,0,5,24,74,1
7,1,11,2,5,9,140,0
10,1,47,0,10,21,1529,1
8,2,20,0,7,0,179,0
11,1,20,2,17,33,90,1
2,1,7,0,6,0,52,1
54,4,144,0,22,1059,1085,1
3,2,10,0,11,3,79,0
9,6,45,0,8,18,205,0
11,1,32,0,27,23,240,0
17,1,37,0,2,100,679,1
3,6,24,0,4,1,230,1
8,6,31,0,7,20,119,0
4,2,24,0,10,6,171,0
2,2,3,0,2,1,8,0
2,8,28,0,13,1,120,0
11,1,16,0,2,35,52,0
2,2,6,0,2,1,65,0
7,2,19,0,7,5,146,0
18,1,71,0,14,27,1598,1
4,1,21,0,14,0,298,0
9,1,17,0,2,2,236,0
4,3,13,0,6,0,71,0
2,2,9,0,11,1,65,0
5,1,24,0,1,10,206,0
19,1,72,0,19,91,1245,0
1,8,15,0,4,0,79,0
14,1,27,0,19,0,386,0
6,1,12,3,4,15,49,0
12,7,92,0,12,28,1013,0
13,1,13,0,7,78,13,0
1,1,2,0,6,0,21,1
5,3,41,0,2,4,213,0
12,6,58,0,12,38,306,0
6,7,46,0,8,9,299,0
6,5,33,0,11,7,397,1
1,7,22,6,9,0,95,0
7,1,12,0,5,13,64,0
4,1,13,0,3,4,62,1
17,5,90,0,15,108,539,1
1,4,2,0,3,0,5,0
2,1,2,0,5,1,2,0
11,4,24,0,4,23,504,0
3,1,4,0,5,3,23,0
86,2,95,0,8,3655,686,0
2,3,4,0,5,1,10,0
7,2,28,0,7,0,559,0
21,1,78,0,17,102,528,1
3,2,8,0,4,0,77,0
2,1,2,0,3,1,2,0
4,1,5,0,2,0,59,0
11,4,26,0,18,33,141,0
5,1,12,0,3,0,251,0
8,2,38,0,18,28,269,0
2,2,19,0,12,1,89,0
3,2,9,0,6,0,34,0
2,2,5,0,8,1,19,0
5,1,47,0,10,0,563,1
5,1,17,0,6,0,96,0
2,2,9,0,10,1,36,0
3,2,18,0,11,3,273,0
3,7,33,0,6,3,180,0
13,1,26,0,13,0,112,1
3,1,20,0,6,3,103,1
7,7,40,0,6,9,214,0
114,1,374,0,184,5427,5109,1
2,2,10,0,12,1,138,0
7,2,17,0,16,19,52,0
6,2,22,0,4,13,150,1
4,1,28,0,11,0,201,0
9,2,44,0,18,14,352,0
6,1,18,0,5,0,176,0
7,2,18,0,6,21,63,0
18,2,53,1,15,71,466,0
4,1,22,0,6,4,118,0
407,1,494,0,47,0,23683,0
11,1,16,0,3,55,456,0
4,3,8,0,1,4,83,0
13,1,61,0,11,44,488,1
2,2,7,0,7,1,30,0
7,6,38,0,6,0,196,0
5,7,49,0,8,2,362,0
2,2,9,0,10,1,107,0
11,2,31,0,6,11,232,0
6,2,25,0,5,3,215,0
2,1,2,0,2,1,2,0
5,1,23,0,3,0,239,0
2,2,3,0,4,1,6,0
37,1,102,0,69,660,1578,1
3,2,9,0,4,1,106,0
43,4,111,0,15,759,981,1
4,2,21,0,12,6,279,0
10,1,26,2,15,15,163,0
2,2,22,0,12,1,186,0
2,2,7,0,10,1,80,0
18,6,131,0,22,113,844,0
7,2,15,0,5,9,64,0
25,6,75,0,9,258,530,1
3,2,10,0,14,3,63,0
41,1,152,0,86,802,1670,1
1,1,1,0,36,0,1,0
4,1,16,0,6,0,222,0
12,7,58,0,7,52,284,0
19,5,126,0,30,53,781,1
6,1,9,0,6,15,34,0
17,5,73,0,16,76,412,1
15,7,55,0,7,77,359,0
4,2,6,0,2,6,83,0
22,1,94,0,29,139,853,1
5,3,13,0,6,4,50,0
3,2,13,0,11,3,102,0
13,1,31,0,8,14,485,1
12,1,18,4,28,54,49,1
6,2,54,0,8,7,336,1
1,1,1,0,13,0,617,0
3,2,9,0,4,1,71,0
1,3,2,0,4,0,5,0
4,1,5,0,3,0,94,0
19,6,64,0,14,125,342,1
8,1,32,0,15,0,351,0
3,2,8,0,4,0,151,0
5,6,32,0,7,2,202,0
3,2,7,0,9,1,30,0
5,6,34,0,6,4,239,1
2,8,28,0,14,1,133,0
6,1,41,0,2,13,372,0
2,2,5,0,1,1,14,0
3,6,17,0,3,1,307,1
9,1,25,3,10,22,121,0
10,1,46,0,12,17,296,0
7,2,21,0,4,0,300,0
6,1,11,0,3,9,135,0
6,2,14,0,16,3,93,0
5,2,22,0,5,0,206,0
4,2,22,0,10,2,173,0
8,2,21,0,9,0,163,0
4,1,7,0,2,0,62,0
6,1,6,0,4,15,6,0
1,3,2,0,4,0,5,1
9,1,12,2,10,30,31,0
5,2,24,0,15,10,159,0
65,5,205,0,52,1652,1871,1
5,6,42,0,6,6,206,0
12,2,36,0,5,24,253,0
54,1,139,0,59,1019,1472,0
25,5,123,0,18,122,797,1
3,6,21,0,4,1,159,1
14,2,35,0,7,37,304,1
1,3,2,0,9,0,5,0
10,5,27,20,23,29,285,0
