@RELATION log4j-1.0-ckmetrics

@ATTRIBUTE wmc REAL
@ATTRIBUTE dit REAL
@ATTRIBUTE rfc REAL
@ATTRIBUTE noc REAL
@ATTRIBUTE cbo REAL
@ATTRIBUTE lcom REAL
@ATTRIBUTE loc REAL
@ATTRIBUTE isBug {1,0}

@DATA
4,4,12,0,3,6,99,0
2,1,3,0,0,1,6,0
8,1,22,0,6,0,176,0
8,2,24,1,7,12,179,0
10,1,13,5,34,45,28,0
12,2,35,0,10,24,531,1
2,1,4,0,4,1,10,0
5,1,14,0,1,8,45,0
2,2,11,0,4,0,67,0
3,1,14,0,0,3,133,0
6,1,9,0,3,9,44,1
8,3,25,0,7,0,217,0
4,1,12,0,2,4,38,0
3,1,3,0,8,3,3,0
14,1,42,2,20,91,247,1
4,1,25,0,7,0,106,0
6,1,25,0,3,13,202,0
3,1,8,0,2,1,42,0
9,1,34,0,3,34,167,0
2,1,20,0,3,1,85,0
5,1,7,0,1,8,22,0
13,3,42,1,10,0,289,1
19,1,31,9,20,131,181,0
7,1,30,0,6,17,144,0
12,1,41,0,12,0,275,1
4,3,12,2,9,0,57,0
4,1,11,0,1,2,61,0
4,1,19,0,3,6,68,0
10,1,13,2,40,15,169,1
5,3,9,1,5,0,43,0
6,1,21,0,7,0,274,1
7,1,16,0,28,9,91,1
8,1,14,0,3,0,146,0
9,1,27,0,53,20,151,1
4,1,15,0,0,6,73,1
6,5,44,0,7,13,208,0
3,1,7,0,1,0,23,0
6,2,24,0,5,9,241,1
3,2,6,0,4,3,25,0
7,1,35,0,5,15,179,1
20,2,46,2,17,58,413,1
4,4,11,0,3,4,32,0
19,2,69,0,10,129,675,0
10,2,37,0,2,23,301,0
10,2,33,0,6,33,321,1
5,1,14,0,0,4,80,0
2,1,22,0,3,1,128,0
5,2,18,0,2,8,88,0
49,1,96,3,60,688,800,1
0,1,0,0,1,0,0,0
0,1,0,0,2,0,0,0
8,2,10,0,0,28,21,0
10,2,27,0,7,29,145,0
9,1,9,0,22,36,9,1
4,2,9,0,2,0,62,0
7,1,22,0,6,11,107,0
14,2,26,0,6,83,157,1
2,1,12,0,4,0,69,0
2,3,5,0,4,1,14,0
1,1,2,1,2,0,4,0
13,2,62,0,9,52,449,1
7,1,32,0,4,17,155,0
4,2,8,0,3,0,76,0
5,1,16,0,0,0,268,0
6,1,10,5,9,7,174,0
19,2,79,0,28,153,754,1
5,1,17,0,1,10,58,0
4,2,5,0,2,6,12,0
10,2,27,0,7,29,145,1
4,1,24,0,5,4,83,0
13,1,35,0,1,0,236,0
8,1,42,0,7,14,308,0
5,1,15,0,0,8,479,0
13,1,40,0,4,8,516,0
22,2,95,0,19,223,1176,1
6,2,12,0,6,13,54,0
5,1,6,3,8,10,13,1
3,1,10,0,9,0,49,0
14,2,43,0,8,41,359,1
4,3,12,2,4,6,111,0
7,1,25,0,3,17,105,0
1,1,1,0,8,0,1,0
6,1,30,0,4,9,144,0
4,4,8,0,3,0,38,0
5,1,17,0,1,0,163,0
10,2,35,0,5,25,272,0
1,1,1,0,3,0,1,0
1,1,1,0,8,0,1,0
8,1,49,0,6,6,389,1
8,1,41,0,15,8,691,1
1,1,1,0,5,0,1,0
2,1,4,0,2,1,8,0
9,2,37,0,4,8,314,0
5,3,18,0,3,4,76,0
6,1,6,0,5,15,6,0
2,1,2,0,15,1,2,0
5,1,31,0,7,10,145,0
4,4,20,0,6,0,77,0
5,1,41,0,7,2,250,0
7,1,27,0,3,5,196,1
5,1,26,0,8,10,508,0
2,1,15,0,4,0,77,0
13,1,54,0,22,76,537,1
4,1,10,0,0,4,114,0
5,5,44,0,8,8,289,0
9,1,19,0,5,10,120,0
2,1,7,0,7,1,15,0
7,1,13,0,4,0,236,1
2,1,4,0,4,1,10,0
4,4,10,0,3,0,41,0
4,2,10,0,3,0,37,0
12,2,39,0,9,14,174,1
4,4,15,0,3,4,80,0
4,1,27,0,7,4,134,0
2,1,16,0,2,1,100,0
7,1,29,0,4,17,154,0
7,1,24,0,2,15,117,0
7,1,32,0,2,15,168,0
4,2,9,0,2,0,47,0
0,1,0,0,0,0,7,0
3,3,7,0,1,1,20,0
4,2,8,0,4,0,69,1
9,2,18,0,13,30,114,1
5,2,17,2,5,2,95,1
8,1,30,0,6,22,324,0
12,1,43,0,21,24,346,1
6,2,8,0,3,15,34,0
7,1,21,0,2,17,90,0
1,2,2,0,1,0,4,0
8,1,38,0,4,24,322,1
1,4,3,0,2,0,7,0
2,2,16,0,3,0,51,0
5,2,11,0,3,0,37,0
7,1,26,0,2,17,131,0
2,3,6,0,4,1,14,0
