@RELATION poi-2.0-ckmetrics

@ATTRIBUTE wmc REAL
@ATTRIBUTE dit REAL
@ATTRIBUTE rfc REAL
@ATTRIBUTE noc REAL
@ATTRIBUTE cbo REAL
@ATTRIBUTE lcom REAL
@ATTRIBUTE loc REAL
@ATTRIBUTE isBug {1,0}

@DATA
23,1,46,0,5,123,668,0
12,2,23,0,6,46,122,0
15,2,35,0,6,41,363,0
11,2,21,0,5,43,117,0
4,1,17,0,8,0,116,1
9,2,13,0,4,36,60,0
20,2,37,0,6,88,348,0
30,1,104,0,20,87,1151,1
14,2,33,0,6,65,229,0
30,1,53,0,3,331,767,0
14,2,25,0,6,77,212,0
12,1,37,0,14,66,494,1
12,2,22,0,6,46,128,0
4,1,4,0,3,6,4,0
23,2,37,0,7,219,345,0
14,2,26,0,8,69,187,0
29,2,53,0,7,100,556,1
4,1,4,0,1,6,4,0
0,1,0,0,0,0,7,0
14,2,26,0,7,57,195,0
25,2,41,0,11,258,389,0
1,1,1,0,4,0,1,0
2,1,4,0,3,0,14,0
11,2,16,0,4,55,96,0
15,2,34,0,8,87,230,0
17,2,41,0,8,66,319,0
23,2,36,0,9,221,350,0
16,2,31,2,6,102,9849,1
20,2,35,0,5,114,360,0
13,2,24,0,3,64,143,0
4,1,4,0,3,6,4,0
12,2,23,0,6,46,122,0
1,4,2,0,124,0,5,0
7,2,10,0,3,9,69,0
1,1,2,0,1,0,6,0
14,2,30,0,3,35,173,0
26,1,42,3,9,325,693,1
9,2,22,0,5,2,202,0
3,1,5,0,3,3,43,0
3,1,10,0,7,0,78,0
12,2,22,0,5,46,127,0
4,2,11,0,5,4,108,0
1,1,1,0,9,0,1,0
31,2,44,0,7,171,406,0
36,2,57,0,6,196,744,0
11,1,17,0,7,9,85,0
3,1,9,0,1,0,86,0
13,2,23,0,5,66,140,0
17,1,95,0,36,106,461,0
62,2,108,0,14,1491,1284,0
19,2,35,0,5,109,265,0
9,2,17,0,9,30,55,0
2,1,8,0,6,1,28,1
20,2,35,0,5,114,359,0
9,2,13,0,4,36,58,0
6,1,22,0,7,3,111,1
25,2,39,0,6,106,487,0
8,1,12,0,2,8,129,0
25,2,51,0,9,228,419,0
22,2,46,0,7,105,422,0
11,1,21,0,5,9,92,0
0,1,0,0,0,0,4,0
16,3,28,0,4,120,104,0
10,2,14,0,4,45,67,1
12,1,30,0,7,48,322,1
0,1,0,0,4,0,0,0
15,2,25,0,4,87,143,0
5,1,6,0,5,2,36,0
12,2,24,0,5,46,145,0
10,2,19,0,5,5,223,0
7,1,51,0,17,3,282,0
9,2,13,0,4,36,62,0
4,1,24,0,2,4,146,0
12,2,23,0,6,46,122,0
25,2,74,0,13,94,490,0
6,1,45,0,17,5,247,1
7,2,14,0,6,9,48,0
4,2,12,0,1,4,44,0
12,2,18,0,6,54,222,0
0,1,0,0,1,0,5,0
48,2,64,0,7,162,891,0
14,2,26,0,8,69,188,0
17,2,32,0,9,74,224,0
5,2,6,18,21,10,13,0
11,1,21,0,5,9,92,0
20,2,32,0,5,114,357,0
24,2,42,0,6,0,423,0
22,2,35,0,8,169,316,1
5,1,6,0,2,0,43,0
9,1,17,0,4,0,234,0
38,2,61,0,6,367,807,0
4,1,6,4,5,6,15,0
11,2,29,0,7,43,154,0
11,2,21,0,5,43,117,0
5,2,20,0,3,0,138,1
1,1,1,0,2,0,1,0
1,1,1,0,13,0,1,0
10,2,21,0,8,0,156,0
8,2,20,0,5,4,148,0
19,3,29,0,4,171,128,1
1,1,1,0,4,0,1,0
12,2,22,0,6,46,128,0
8,2,37,1,11,0,278,0
22,2,51,0,9,89,417,0
12,2,24,0,5,46,141,0
18,1,19,0,32,107,170,0
10,2,19,0,0,0,86,0
26,2,46,0,6,153,501,0
11,2,21,0,5,49,108,0
84,1,269,0,87,2582,3213,1
6,1,8,0,2,15,139,0
10,2,14,0,4,45,67,1
23,2,24,0,2,253,49,1
4,4,8,0,3,6,20,0
11,2,21,0,5,49,109,0
14,2,24,0,5,69,155,0
10,1,14,2,6,19,71,0
10,2,18,0,4,33,89,0
1,1,2,0,0,0,51,0
37,2,54,0,10,348,661,0
12,2,22,0,5,54,117,0
12,2,24,0,4,46,141,0
22,1,56,1,14,197,378,1
20,2,32,0,6,114,361,0
2,1,2,0,5,1,2,0
14,2,34,0,8,41,225,1
13,2,32,0,8,52,1216,1
8,1,28,0,4,0,426,0
35,1,43,0,156,595,379,0
7,2,8,0,2,21,26,0
2,1,2,0,5,1,2,0
11,2,21,0,5,49,106,0
2,1,16,0,3,1,231,0
5,1,21,0,3,0,149,0
24,2,41,0,6,38,429,0
11,2,21,0,6,49,106,0
10,1,62,0,15,15,785,0
54,1,140,0,32,651,1806,1
8,1,19,0,8,0,333,0
6,1,25,0,5,7,230,1
24,2,41,0,6,82,438,0
4,1,16,0,6,4,82,1
3,1,8,0,3,0,32,0
37,2,80,0,12,470,866,0
44,2,61,0,6,312,933,0
6,3,15,0,1,15,287,0
12,2,24,0,4,46,141,0
2,1,5,0,3,0,42,0
4,1,4,0,6,6,4,0
22,2,34,0,5,141,423,0
2,1,10,0,5,1,82,0
8,2,12,0,3,22,102,0
8,3,19,0,4,0,161,0
10,2,14,0,4,45,52,0
2,1,8,0,9,1,24,0
18,2,28,0,5,111,231,0
16,1,17,0,3,78,172,0
6,1,6,0,6,15,6,0
5,4,7,2,5,4,29,0
8,3,15,0,3,26,219,0
24,2,41,0,5,0,411,0
5,3,7,0,3,4,29,0
9,1,151,0,121,32,1303,0
12,1,25,0,8,24,319,0
5,2,16,0,8,10,50,0
5,1,24,0,8,2,117,0
13,1,35,0,41,60,618,1
8,1,17,0,7,0,134,1
3,1,21,0,2,3,112,0
12,2,22,0,5,54,120,0
9,2,17,0,4,36,72,0
4,1,5,0,5,0,28,0
18,2,33,0,6,81,308,0
10,3,13,0,5,3,73,0
4,1,8,0,5,0,79,0
11,1,34,0,11,0,210,0
11,2,21,0,5,43,106,0
9,1,9,0,8,36,9,0
42,1,89,0,6,0,361,0
13,2,24,0,5,56,141,0
12,2,23,0,6,46,122,0
10,2,12,0,3,3,87,0
11,2,21,0,5,49,106,0
7,2,8,0,2,21,32,0
26,2,46,0,6,117,505,0
24,2,50,0,9,244,402,0
9,2,13,0,4,36,62,0
7,1,20,0,7,9,173,0
11,2,21,0,5,49,107,0
4,1,49,0,10,0,492,0
9,2,13,0,4,36,59,0
16,1,55,0,20,0,453,0
9,2,17,0,5,36,72,0
9,1,20,0,10,0,294,1
32,1,65,3,19,290,732,0
14,2,28,0,6,61,245,0
6,1,56,48,49,15,923,0
12,2,22,0,5,54,119,0
17,2,32,0,7,72,282,0
12,2,22,0,5,46,127,0
10,2,18,0,6,45,79,0
9,2,13,0,4,36,62,0
12,2,24,0,5,46,144,0
2,1,5,0,3,0,49,0
12,2,24,0,4,36,143,0
12,1,56,16,46,60,415,1
10,2,14,0,4,45,63,0
20,2,65,0,14,94,327,0
3,1,30,0,1,3,315,0
10,2,18,0,4,45,87,0
10,1,10,0,13,45,10,0
11,2,21,0,5,49,106,0
11,2,21,0,5,43,116,0
10,1,31,0,4,3,183,0
12,1,30,0,6,34,306,0
12,2,23,0,5,54,117,0
10,2,18,0,4,39,78,0
4,4,8,0,3,6,20,0
8,1,20,0,3,0,441,0
12,2,24,0,5,46,141,0
9,2,13,0,4,36,64,0
5,3,7,3,4,4,29,0
20,2,40,0,7,142,342,0
3,1,4,0,4,3,7,1
20,2,31,0,5,138,306,0
4,1,15,0,6,4,55,0
30,2,50,0,6,327,505,0
18,2,35,0,6,37,287,0
12,2,22,0,5,46,128,0
