@RELATION synapse-1.2-ckmetrics

@ATTRIBUTE wmc REAL
@ATTRIBUTE dit REAL
@ATTRIBUTE rfc REAL
@ATTRIBUTE noc REAL
@ATTRIBUTE cbo REAL
@ATTRIBUTE lcom REAL
@ATTRIBUTE loc REAL
@ATTRIBUTE isBug {1,0}

@DATA
15,1,52,0,18,37,271,1
3,3,8,0,2,3,60,0
15,1,33,18,23,7,229,1
2,3,5,0,6,1,14,0
2,1,2,0,11,1,2,1
4,2,29,0,8,4,141,0
4,2,19,0,7,4,78,1
51,1,71,0,4,1025,481,0
14,1,46,0,14,0,544,0
4,1,31,0,4,0,179,0
2,2,30,2,16,1,373,0
17,1,77,0,23,34,673,0
3,2,25,0,10,3,139,0
10,1,10,0,33,45,10,0
20,2,107,0,31,104,844,1
15,2,73,0,12,67,609,0
3,2,24,0,8,3,114,0
17,2,58,0,14,100,444,1
3,2,25,0,11,3,156,0
3,3,15,0,7,3,46,0
2,3,30,0,5,1,183,1
5,3,51,0,20,0,319,1
12,1,12,0,10,66,12,0
10,2,35,7,14,0,176,1
8,2,64,0,21,0,570,0
3,1,3,0,4,3,3,0
9,1,102,0,38,30,620,1
11,3,71,0,18,1,542,1
3,1,8,0,5,1,21,0
12,1,37,0,12,2,319,1
26,1,31,0,17,245,193,0
4,1,16,0,7,4,76,1
3,3,28,0,13,3,142,0
23,1,70,0,18,143,537,0
5,1,67,0,14,0,695,0
43,1,44,0,18,781,274,0
15,1,84,0,28,99,507,1
6,3,45,0,71,13,219,1
3,3,15,0,7,3,46,0
5,1,26,0,13,0,151,1
6,1,22,0,12,3,194,0
16,3,52,0,34,60,428,1
1,1,1,0,2,0,1,0
4,2,16,0,6,2,97,0
28,2,106,0,31,216,828,1
4,2,29,0,10,4,133,0
3,5,6,0,6,3,18,0
7,1,17,0,8,9,151,0
1,1,1,0,10,0,1,0
3,4,6,0,83,3,17,1
4,2,21,1,13,0,178,0
6,1,13,0,10,15,35,0
3,1,35,0,11,1,200,0
5,1,47,1,21,0,242,0
8,3,42,0,3,8,202,1
1,1,1,0,1,0,1,0
4,3,29,0,11,2,212,0
6,1,32,0,17,11,242,1
5,1,18,0,7,0,153,0
5,1,66,0,22,4,493,1
0,1,0,0,0,0,0,0
4,3,29,0,9,2,218,0
3,1,7,0,5,1,40,1
5,1,10,0,12,0,46,0
11,1,45,0,16,11,250,0
3,1,3,0,4,3,3,0
2,1,7,0,6,0,36,0
3,2,16,0,10,3,56,0
3,3,27,0,11,3,145,0
8,2,32,0,8,0,219,1
3,1,4,0,2,0,20,0
4,3,9,0,5,4,31,0
4,1,17,0,24,0,59,0
22,2,44,0,4,135,388,1
6,1,26,0,4,9,171,1
5,1,28,0,11,8,122,0
10,1,20,0,8,9,148,0
2,1,2,0,8,1,2,0
4,3,13,0,9,6,35,0
6,1,6,0,13,15,6,0
5,3,19,0,12,6,159,0
6,1,22,0,6,0,154,0
5,2,42,0,9,4,384,0
7,1,51,0,9,5,334,0
25,1,86,0,32,174,740,1
8,2,29,0,10,0,167,1
10,1,11,0,7,35,46,0
2,2,4,0,2,1,10,0
6,1,21,0,10,3,232,0
15,2,53,1,14,61,307,0
27,3,90,0,11,349,845,0
3,2,13,0,7,3,41,0
3,3,14,0,8,3,45,0
4,3,9,0,5,4,30,0
4,2,25,0,8,2,218,0
2,3,4,0,8,1,9,0
4,2,31,0,10,6,456,0
4,2,29,0,11,2,191,0
3,2,31,0,11,3,225,0
8,1,64,0,27,20,313,1
2,1,2,0,5,1,2,0
7,1,50,0,13,0,488,1
12,2,28,0,15,54,117,0
6,1,12,0,7,1,56,0
6,3,56,0,12,13,606,1
9,1,12,0,10,26,70,0
10,2,39,0,15,0,210,1
8,1,8,0,4,28,8,0
4,2,8,0,4,4,27,0
17,2,62,0,17,88,329,0
14,1,69,0,30,51,511,1
4,1,21,0,13,4,132,0
4,2,30,0,14,2,161,0
1,1,1,0,5,0,1,0
3,3,14,0,8,3,45,0
4,1,69,0,19,2,598,0
7,1,32,4,20,9,220,0
4,2,38,0,18,0,268,1
6,2,20,0,10,0,106,0
9,1,45,0,24,32,235,1
9,1,45,0,11,22,351,1
2,2,16,0,13,1,88,1
20,2,71,0,14,90,677,1
5,2,33,0,7,2,207,0
3,3,7,0,2,1,43,0
7,1,7,0,48,21,7,1
3,1,15,0,9,1,50,1
11,1,38,0,11,0,336,0
2,2,8,0,10,1,38,0
67,1,172,0,44,1931,1449,1
3,2,32,0,11,3,232,1
5,1,18,19,26,10,154,0
14,1,26,0,15,29,159,0
18,1,28,0,2,87,200,0
4,3,9,0,5,4,31,0
2,1,5,0,4,1,88,1
3,3,15,0,7,3,46,0
3,1,13,0,9,0,113,0
3,2,24,0,12,3,94,0
7,1,37,1,10,13,227,0
3,2,21,0,10,3,110,0
3,2,31,0,12,3,144,1
2,2,9,0,6,1,20,0
12,2,37,0,10,14,390,1
2,2,14,0,11,1,63,0
5,2,38,0,11,8,220,0
7,1,42,0,7,9,558,1
16,2,66,1,17,58,918,1
2,1,6,0,6,1,21,0
7,1,8,0,1,0,113,0
10,1,33,0,11,0,248,1
9,1,30,0,10,6,235,1
5,1,19,0,12,10,143,0
2,1,2,0,11,1,2,0
4,1,4,0,7,6,4,0
6,1,37,0,11,3,214,1
1,1,2,0,0,0,4,0
17,3,39,0,11,52,535,1
3,1,4,1,2,0,17,0
1,1,1,0,1,0,1,0
4,1,23,0,11,2,101,0
7,1,11,0,5,13,68,1
2,2,21,0,16,1,145,1
8,1,44,6,28,26,342,1
5,1,45,0,22,8,165,1
15,2,53,0,21,27,357,1
8,2,60,2,12,12,709,1
4,1,7,0,7,4,30,0
8,1,36,18,34,22,181,0
3,2,27,0,13,3,128,0
22,2,64,0,25,135,544,1
3,1,3,0,11,3,3,0
9,1,39,0,14,0,406,1
2,2,14,7,12,1,40,0
3,1,18,0,13,1,90,0
4,1,25,0,12,2,145,0
1,1,1,0,1,0,1,0
9,1,12,0,2,22,75,0
14,1,15,0,3,0,126,0
2,1,2,0,4,1,2,0
14,2,71,2,19,47,442,1
4,2,22,0,10,4,174,0
1,1,1,0,4,0,1,0
4,3,9,0,5,4,30,0
3,3,16,0,7,3,74,1
52,1,52,0,78,1326,52,0
5,3,18,0,7,8,80,1
4,4,16,0,7,4,48,1
3,3,12,0,5,3,33,0
7,1,43,0,8,15,245,1
5,1,31,0,12,0,132,0
4,3,24,0,12,4,188,0
22,1,22,0,2,231,22,0
3,1,26,0,11,1,158,0
6,1,17,0,5,5,76,0
6,1,22,0,11,3,202,0
1,1,1,0,1,0,1,0
6,1,28,0,7,5,163,0
6,2,28,1,7,13,139,1
4,2,13,0,4,4,51,0
4,2,23,0,11,4,117,1
5,2,35,0,10,6,435,0
4,2,28,0,10,2,260,0
4,2,19,0,7,2,66,0
4,1,14,0,9,0,89,1
11,1,65,6,23,49,566,0
23,2,74,0,22,175,461,0
4,1,22,0,13,2,126,0
3,3,17,0,13,1,82,0
3,2,16,0,12,3,101,0
50,1,108,0,46,697,976,1
4,3,9,0,5,4,30,0
2,2,15,7,14,1,46,0
2,3,18,0,5,1,106,1
1,1,2,0,0,0,10,0
4,2,27,0,9,4,150,1
12,2,51,0,16,10,435,1
2,2,14,0,8,1,46,0
7,1,28,0,9,0,265,1
2,2,16,0,11,1,50,1
3,2,15,0,9,3,50,0
2,3,23,0,10,1,114,1
3,2,19,0,8,3,88,0
1,1,2,0,0,0,6,0
3,1,11,0,8,1,26,0
13,1,45,0,14,10,382,0
25,2,87,0,26,168,753,1
6,1,105,0,34,0,620,1
4,2,27,0,13,2,167,0
8,1,105,0,33,28,455,1
4,2,29,0,13,2,222,0
2,1,8,0,6,1,33,1
2,1,13,0,1,0,57,0
4,2,29,0,14,6,156,0
3,1,29,0,12,1,143,0
8,1,18,0,7,8,79,1
5,1,23,0,23,8,77,0
61,1,136,0,46,378,776,1
1,1,1,0,2,0,1,0
4,2,11,0,6,2,49,0
4,1,4,0,9,6,4,0
15,2,42,0,15,27,326,0
16,2,60,0,13,34,483,1
5,1,26,0,7,0,288,0
2,1,6,0,14,1,106,1
4,1,4,0,78,6,4,0
6,1,22,0,14,15,146,0
11,1,59,0,5,25,1312,1
4,2,36,0,9,2,371,1
1,1,2,0,0,0,7,0
3,3,16,0,7,3,70,1
7,1,22,0,9,5,114,0
3,2,21,0,10,3,107,0
15,1,75,0,23,49,940,1
4,2,10,0,4,4,43,0
6,1,15,0,3,0,60,0
