@RELATION xerces-1.2-ckmetrics

@ATTRIBUTE wmc REAL
@ATTRIBUTE dit REAL
@ATTRIBUTE rfc REAL
@ATTRIBUTE noc REAL
@ATTRIBUTE cbo REAL
@ATTRIBUTE lcom REAL
@ATTRIBUTE loc REAL
@ATTRIBUTE isBug {1,0}

@DATA
6,3,10,3,0,0,54,0
63,2,225,3,27,793,5680,0
1,5,2,0,1,0,6,1
21,4,25,0,2,210,120,0
25,3,67,3,13,34,1120,1
3,1,3,0,26,3,17,0
1,1,1,0,0,0,1,1
3,4,14,0,2,3,60,0
7,4,10,0,3,21,39,0
12,4,22,0,3,66,97,0
17,1,54,0,8,134,867,0
25,2,68,5,14,34,1120,1
8,1,16,1,0,14,117,1
18,2,35,0,6,0,2128,0
2,3,3,0,11,0,13,0
10,1,10,0,22,45,51,0
22,1,48,1,9,41,579,1
7,4,10,0,3,21,39,0
7,1,9,0,1,13,720,0
12,1,12,0,0,66,12,0
4,3,9,0,6,0,583,0
18,1,18,0,6,153,18,0
35,4,43,0,3,595,200,0
14,1,14,0,2,91,14,0
9,1,26,0,11,16,191,0
8,1,8,0,0,28,8,1
6,1,12,0,8,3,90,0
7,4,14,0,2,21,42,0
14,1,50,0,5,91,486,0
2,2,18,0,9,0,239,0
3,4,6,0,2,3,17,0
49,1,121,2,22,622,1192,0
12,1,12,0,0,66,12,0
0,1,0,0,8,0,0,0
10,2,29,0,7,35,240,0
34,2,74,0,14,0,2890,0
42,1,52,0,11,695,498,1
4,1,4,0,0,6,4,0
4,1,4,0,0,6,4,0
41,2,77,0,13,280,1231,0
8,1,27,1,0,28,128,1
2,1,2,0,2,1,2,0
11,2,42,0,8,33,327,0
16,1,16,0,0,120,16,1
7,2,12,1,5,15,80,1
17,2,36,0,5,128,263,0
4,1,6,0,6,0,73,0
7,4,10,0,3,21,39,0
6,1,6,0,0,15,6,0
2,1,2,0,0,1,2,0
5,4,10,0,3,10,52,0
5,4,10,0,2,10,28,0
18,2,58,0,7,141,1937,0
42,1,66,0,3,375,1992,0
5,4,11,0,2,10,30,0
2,1,2,0,0,1,2,0
11,1,48,0,23,33,849,0
1,1,1,0,0,0,1,1
2,1,2,0,2,1,2,0
5,1,7,0,6,10,107,0
3,4,7,0,2,3,19,0
7,1,7,0,0,21,7,1
1,1,2,0,0,0,8,0
26,1,40,0,0,0,723,0
30,1,88,0,0,177,887,0
2,1,2,0,0,1,2,0
10,1,10,0,2,45,10,0
16,4,46,2,13,102,288,1
8,1,8,0,0,28,8,1
2,1,2,0,2,1,2,0
38,1,77,2,28,569,2197,0
10,1,10,0,0,45,13,1
5,3,7,2,2,10,20,0
6,2,20,0,7,9,136,0
13,4,16,0,3,78,72,0
8,4,12,0,19,0,64,0
0,1,0,0,2,0,0,0
4,1,4,0,0,6,4,0
3,4,6,0,2,3,17,0
15,4,26,1,9,57,200,0
3,1,3,0,0,3,3,0
20,1,29,0,1,58,547,0
9,4,12,0,3,36,50,0
1,1,2,0,0,0,9,0
4,1,4,0,2,6,4,0
1,4,2,0,3,0,6,0
10,4,29,1,6,43,115,0
29,4,70,4,17,124,598,1
26,1,26,0,0,325,26,0
6,3,21,2,9,15,90,1
45,2,63,0,13,862,962,0
36,1,69,0,0,246,436,0
5,1,14,0,2,0,1114,0
9,4,12,0,3,36,50,0
18,1,19,0,0,153,40,0
11,1,11,0,0,55,11,0
8,2,14,2,9,18,69,0
27,4,35,0,2,351,171,0
4,3,23,0,39,4,580,0
22,1,39,0,6,89,1528,0
0,1,0,0,1,0,0,0
3,4,6,0,2,3,17,0
1,4,2,1,0,0,11,0
2,1,2,0,0,1,2,0
1,4,2,1,0,0,24,1
34,3,83,0,59,541,1017,0
2,1,2,0,22,1,5,0
1,1,2,0,0,0,121,0
